Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;;;;;;;;
year ;   jan ;   feb;    mar ;   apr;    may;    jun;    jul;    aug;    sep;    oct;    nov;    dec ;    win ;    spr ;   sum;    aut ;    ann
2007 ; 239.7 ; 131.6;  138.9 ;  53.4;  129.7;  109.6;  134.3;  138.3;  100.4;   99.4;  157.8;  142.7 ;  632.9 ;  322.0 ; 382.2;  357.6 ; 1575.8
2008 ; 275.0 ; 159.4;  165.6 ;  97.6;   26.0;  107.7;  107.3;  155.3;  106.6;  237.0;  145.0;  135.5 ;  577.1 ;  289.2 ; 370.3;  488.6 ; 1717.9
2009 ; 164.9 ;  83.1;  147.9 ;  80.4;  121.2;   70.4;  154.4;  200.9;  127.0;  166.3;  260.9;  101.3 ;  383.4 ;  349.6 ; 425.7;  554.2 ; 1678.7
2010 ;  92.4 ;  81.5;  101.0 ;  85.4;   49.9;   39.5;  164.9;  102.2;  152.5;  147.5;  165.5;   61.9 ;  275.3 ;  236.2 ; 306.6;  465.4 ; 1244.2
2011 ; 135.6 ; 164.8;  103.9 ;  77.2;  188.8;   99.5;   98.7;  162.7;  187.6;  204.1;  177.7;  262.1 ;  362.3 ;  369.9 ; 360.9;  569.4 ; 1862.8
2012 ; 181.7 ; 105.7;   57.5 ; 114.2;   82.9;  126.3;  125.3;  134.9;  145.9;  150.9;  158.8;  212.2 ;  549.5 ;  254.6 ; 386.5;  455.6 ; 1596.3
2013 ; 147.1 ;  81.8;   51.6 ; 115.7;  118.1;   59.9;   81.6;   88.1;  100.7;  190.1;  128.4;  295.1 ;  441.1 ;  285.3 ; 229.6;  419.2 ; 1458.0
2014 ; 215.0 ; 221.5;  129.5 ;  92.8;   99.3;   67.2;   86.2;  187.7;   39.0;  246.6;  137.7;  217.0 ;  731.6 ;  321.6 ; 341.2;  423.4 ; 1739.7
2015 ; 250.4 ; 123.3;  171.2 ;  78.3;  151.1;   92.2;  151.2;  116.4;   49.8;   92.2;  240.1;  324.0 ;  590.7 ;  400.5 ; 359.8;  382.1 ; 1840.1
2016 ; 252.5 ; 162.7;   89.6 ;  99.1;   72.6;   89.4;  137.6;  118.1;  142.2;   65.6;  113.6;  145.5 ;  739.3 ;  261.3 ; 345.1;  321.4 ; 1488.6
2017 ;  99.8 ; 142.2;  127.3 ;  62.9;   53.5;  153.1;  110.0;  146.3;  140.8;  178.1;  163.3;  145.4 ;  387.5 ;  243.7 ; 409.4;  482.3 ; 1522.9
2018 ; 184.0 ;  96.8;   99.1 ;  85.5;   47.9;   69.2;   79.3;  103.6;  171.0;  168.6;  159.0;  131.3 ;  426.2 ;  232.5 ; 252.2;  498.6 ; 1395.4
2019 ; 106.7 ; 104.3;  178.7 ;  52.8;  104.5;  102.6;  129.2;  207.8;  131.7;  148.4;  102.6;  189.7 ;  342.3 ;  336.0 ; 439.6;  382.7 ; 1559.0
2020 ; 202.5 ; 277.0;  120.5 ;  30.2;   77.1;  123.4;  134.3;  112.4;  125.4;  240.2;  161.6;  205.0 ;  669.2 ;  227.8 ; 370.1;  527.1 ; 1809.5
2021 ; 135.5 ; 133.3;  140.4 ;  35.4;  109.5;       ;       ;       ;       ;       ;       ;        ;  473.9 ;  285.2 ;      ;        ;       
