Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;;;;;;;;
year ;   jan ;   feb;    mar;    apr;    may ;   jun;    jul;    aug;    sep;    oct;    nov;    dec ;    win;     spr;     sum ;    aut ;    ann
1973 ; 116.7 ;  81.8;   33.4;   58.6;   82.6 ;  44.2;   81.8;   98.9;   76.3;   58.5;  115.6;  113.0 ;  297.5;   174.7;   224.9 ;  250.5 ;  961.6
1974 ; 163.1 ; 101.8;   56.3;   27.9;   81.3 ;  49.6;   95.7;   82.6;  152.6;   71.3;  112.6;  123.7 ;  378.0;   165.5;   228.0 ;  336.5 ; 1118.7
1975 ; 157.4 ;  35.3;   60.3;   66.5;   20.5 ;  31.5;   73.8;   54.5;  125.3;   91.6;   83.1;   40.8 ;  316.4;   147.3;   159.8 ;  300.0 ;  840.5
1976 ; 132.6 ;  55.3;   84.6;   33.1;  117.3 ;  58.9;   64.7;   17.5;  118.5;  188.1;   72.2;  102.4 ;  228.7;   235.0;   141.0 ;  378.8 ; 1045.1
1977 ; 107.2 ; 161.5;   85.5;   79.5;   28.8 ;  54.3;   54.2;   93.7;   74.0;  105.1;  127.1;  102.6 ;  371.0;   193.9;   202.2 ;  306.2 ; 1073.5
1978 ; 139.9 ;  74.7;  121.5;   35.1;   31.9 ;  60.8;   73.8;   81.2;  120.8;   55.4;  122.9;  198.0 ;  317.2;   188.5;   215.9 ;  299.1 ; 1116.0
1979 ;  91.4 ;  31.2;   98.8;   85.3;   95.5 ;  55.1;   53.3;  138.7;   79.4;  132.3;  166.8;  128.2 ;  320.5;   279.6;   247.2 ;  378.5 ; 1156.0
1980 ; 112.9 ;  98.6;  113.5;   19.9;   34.7 ; 114.1;   91.6;   87.1;  128.8;  142.9;   89.1;  143.1 ;  339.7;   168.0;   292.8 ;  360.8 ; 1176.2
1981 ; 107.6 ;  73.3;  131.0;   45.2;  144.9 ;  86.4;   81.2;   42.3;  174.1;  150.8;   93.7;   94.7 ;  323.9;   321.2;   209.9 ;  418.6 ; 1225.3
1982 ; 106.4 ;  90.5;  114.0;   24.2;   66.4 ; 118.6;   21.1;   93.5;   98.2;  125.6;  163.1;  144.9 ;  291.7;   204.6;   233.1 ;  386.9 ; 1166.5
1983 ; 121.0 ;  48.1;  116.4;   56.4;   81.7 ;  51.2;   22.9;   34.5;  111.6;  136.1;   40.8;  140.8 ;  314.0;   254.5;   108.6 ;  288.5 ;  961.5
1984 ; 183.1 ; 113.3;   74.8;   30.7;   22.6 ;  59.4;   53.8;   72.5;  106.3;  115.5;  116.3;  120.1 ;  437.2;   128.1;   185.7 ;  338.1 ; 1068.3
